Year,Total_CO2,CO2_per_capita,GDP,Population
1861,0.497,0.002,219618560000.0,244258342.0
1884,2.73,0.01,233500588000.0,263098048.0
1885,2.459,0.009,242433816000.0,265221721.0
1886,2.772,0.01,236355820000.0,267362508.0
1887,3.066,0.011,248702400000.0,269520547.0
1888,3.41,0.013,252440820000.0,271695977.0
1889,4.022,0.015,247072518000.0,273520781.0
1890,4.432,0.016,260331806000.0,274991729.0
1891,4.772,0.017,236132730000.0,276105563.0
1892,5.247,0.019,255340540000.0,276859000.0
1893,5.543,0.02,261684549000.0,277248729.0
1894,5.617,0.02,265797360000.0,277638978.0
1895,7.035,0.025,259487840000.0,278029747.0
1896,7.608,0.027,240159000000.0,278421038.0
1897,8.253,0.03,284161116000.0,278812851.0
1898,9.125,0.033,284652072000.0,279205186.0
1899,10.054,0.036,262708325000.0,279838410.0
1900,11.929,0.042,271697500000.0,280714154.0
1901,13.179,0.047,277327800000.0,281834058.0
1902,14.515,0.051,300672000000.0,283199773.0
1903,14.802,0.052,304764400000.0,284812956.0
1904,16.561,0.058,306075000000.0,286435299.0
1905,16.93,0.059,300632500000.0,288066854.0
1906,19.549,0.067,308969700000.0,289707671.0
1907,21.772,0.075,290665100000.0,291357804.0
1908,24.908,0.085,294816900000.0,293017306.0
1909,24.142,0.082,335358000000.0,294397607.0
1910,23.487,0.079,335633100000.0,295496971.0
1911,24.782,0.084,333713100000.0,296313651.0
1912,28.521,0.096,333133200000.0,296845891.0
1913,31.466,0.106,325870100000.0,297091925.0
1914,31.698,0.107,343520000000.0,297338132.0
1915,33.141,0.111,334924200000.0,297584511.0
1916,33.517,0.113,344694000000.0,297831063.0
1917,35.019,0.117,338632800000.0,298077789.0
1918,39.359,0.132,295336800000.0,298421342.0
1919,42.974,0.144,335830000000.0,299273541.0
1920,34.867,0.116,309267200000.0,300639878.0
1921,37.505,0.124,332498600000.0,302525896.0
1922,36.903,0.121,346716800000.0,304937193.0
1923,37.971,0.123,335552000000.0,307879422.0
1924,40.627,0.131,351853700000.0,310850039.0
1925,40.084,0.128,356048700000.0,313849318.0
1926,39.942,0.126,367478400000.0,316877536.0
1927,41.883,0.131,367200000000.0,319934973.0
1928,40.072,0.124,370912500000.0,323021910.0
1929,41.707,0.128,386396000000.0,326429031.0
1930,42.399,0.128,389214800000.0,330163509.0
1931,38.85,0.116,386353000000.0,334232641.0
1932,36.129,0.107,390754000000.0,338643856.0
1933,35.467,0.103,391381200000.0,343404711.0
1934,39.61,0.114,395071600000.0,348232496.0
1935,41.393,0.117,390890400000.0,353128154.0
1936,40.684,0.114,406292700000.0,358092638.0
1937,45.067,0.124,399830200000.0,363126915.0
1938,50.379,0.137,400546500000.0,368231967.0
1939,49.311,0.133,409623600000.0,371781679.0
1940,52.309,0.14,422772400000.0,373766276.0
1941,53.58,0.143,431261700000.0,374175756.0
1942,53.529,0.144,428796600000.0,372999886.0
1943,46.644,0.126,446201700000.0,370228201.0
1944,47.695,0.13,441698400000.0,367477113.0
1945,52.873,0.145,434203200000.0,364746467.0
1946,52.224,0.144,411463200000.0,362036112.0
1947,53.179,0.148,340810000000.0,359345897.0
1948,53.203,0.149,344050000000.0,356675672.0
1949,56.187,0.158,353225000000.0,355893489.0
1950,60.943,0.176,354333000000.0,346278818.0
1951,63.806,0.18,362445000000.0,353870058.0
1952,67.249,0.186,373116000000.0,361874906.0
1953,68.608,0.185,396813000000.0,370104570.0
1954,72.307,0.191,413406000000.0,378687141.0
1955,78.694,0.203,423654000000.0,387700892.0
1956,81.619,0.206,447917000000.0,396988905.0
1957,91.618,0.226,443356000000.0,406253895.0
1958,95.801,0.23,476938000000.0,415777436.0
1959,101.436,0.238,486918000000.0,425780669.0
1960,111.32,0.255,520800000000.0,435990342.0
1961,120.399,0.27,536352000000.0,446564731.0
1962,132.58,0.29,548432000000.0,457283091.0
1963,142.439,0.304,576288000000.0,468138576.0
1964,139.483,0.291,620466000000.0,479229599.0
1965,153.697,0.314,596065000000.0,490140142.0
1966,159.371,0.318,601425000000.0,500740250.0
1967,159.557,0.312,650716000000.0,511606377.0
1968,174.071,0.333,668220000000.0,522716893.0
1969,177.411,0.332,712563000000.0,533880545.0
1970,181.724,0.333,748744000000.0,545864271.0
1971,191.965,0.344,755656000000.0,558096385.0
1972,203.037,0.356,753543000000.0,570482138.0
1973,209.096,0.358,788800000000.0,583465599.0
1974,215.854,0.362,796992000000.0,597041391.0
1975,234.21,0.383,868010000000.0,611309536.0
1976,244.75,0.391,878540000000.0,625861887.0
1977,258.962,0.404,947196000000.0,640801106.0
1978,263.15,0.401,997920000000.0,655728226.0
1979,276.285,0.412,947528000000.0,671155746.0
1980,291.714,0.424,1015105000000.0,687354029.0
1981,314.969,0.448,1077444000000.0,703696251.0
1982,325.383,0.452,1111560000000.0,720313473.0
1983,352.205,0.478,1202349000000.0,737372683.0
1984,361.569,0.479,1248910000000.0,754875449.0
1985,397.601,0.515,1298600000000.0,772647800.0
1986,426.318,0.539,1353105000000.0,790689977.0
1987,455.355,0.563,1412884000000.0,808931268.0
1988,491.7,0.594,1560090000000.0,827342994.0
1989,540.662,0.639,1663728000000.0,846039528.0
1990,577.987,0.668,1750993000000.0,864972221.0
1991,615.388,0.696,1768493598375.0,883927605.0
1992,655.424,0.726,1851711465033.0,902957075.0
1993,677.262,0.734,1944353884791.0,922118380.0
1994,714.043,0.759,2055026658036.0,941163772.0
1995,760.48,0.792,2189535837458.0,960301046.0
1996,823.602,0.841,2345228680352.0,979678460.0
1997,857.976,0.859,2426804815330.0,999133764.0
1998,875.783,0.86,2567853125008.0,1018665080.0
1999,961.194,0.926,2710353015518.0,1038225822.0
2000,987.065,0.933,2804478499774.0,1057922731.0
2001,1001.198,0.929,2940745466088.0,1077898579.0
2002,1032.75,0.941,3024984520809.0,1097600380.0
2003,1068.398,0.957,3251114494190.0,1116803000.0
2004,1134.611,0.999,3495022816540.0,1135991509.0
2005,1195.393,1.035,3752627653422.0,1154676321.0
2006,1293.321,1.103,4069856052453.0,1172878888.0
2007,1393.485,1.17,4403215224414.0,1190676028.0
2008,1490.366,1.234,4649548164533.0,1207930960.0
2009,1613.328,1.316,4993478894185.0,1225524764.0
2010,1678.53,1.35,5361371354007.0,1243481565.0
2011,1765.695,1.4,5720692888000.0,1261224956.0
2012,1926.986,1.507,6052427493607.0,1278674501.0
2013,1995.337,1.54,6424470752490.0,1295829507.0
2014,2148.052,1.637,6875186158349.0,1312277184.0
2015,2231.817,1.681,7391521519812.0,1328024494.0
2016,2352.54,1.75,8057465593010.0,1343944296.0
2017,2425.722,1.784,8550029645172.0,1359657398.0
2018,2595.227,1.888,9173201683791.0,1374659067.0
2019,2611.175,1.88,9595463242427.0,1389030307.0
2020,2422.732,1.727,8945313249462.0,1402617694.0
2021,2675.778,1.892,9801621018003.0,1414203896.0
2022,2831.132,1.986,10476248645535.0,1425423209.0
